auction_date,security_type,security_term,tenor_group
1985-05-09,Bond,29-Year 9-Month,30Y
1985-05-29,Note,5-Year 2-Month,5Y
1985-06-25,Note,4-Year,5Y
1985-06-27,Bond,20-Year 1-Month,30Y
1985-08-07,Note,10-Year,10Y
1985-08-08,Bond,30-Year,30Y
1985-08-28,Note,5-Year 2-Month,5Y
1985-10-31,Bond,19-Year 9-Month,30Y
1985-11-21,Note,10-Year,10Y
1985-11-22,Bond,30-Year,30Y
1985-11-27,Note,5-Year 2-Month,5Y
1985-12-18,Note,4-Year,5Y
1986-01-08,Bond,20-Year 1-Month,30Y
1986-02-05,Note,10-Year,10Y
1986-02-06,Bond,30-Year,30Y
1986-02-26,Note,5-Year 2-Month,5Y
1986-03-25,Note,4-Year,5Y
1986-05-07,Note,10-Year,10Y
1986-05-08,Bond,30-Year,30Y
1986-05-28,Note,5-Year 2-Month,5Y
1986-06-24,Note,4-Year,5Y
1986-08-06,Note,9-Year 9-Month,10Y
1986-08-07,Bond,29-Year 9-Month,30Y
1986-08-27,Note,5-Year 2-Month,5Y
1986-09-24,Note,4-Year,5Y
1986-11-05,Note,10-Year,10Y
1986-11-06,Bond,30-Year,30Y
1986-11-25,Note,5-Year 2-Month,5Y
1986-12-18,Note,4-Year,5Y
1987-02-04,Note,9-Year 9-Month,10Y
1987-02-05,Bond,29-Year 9-Month,30Y
1987-02-25,Note,5-Year 2-Month,5Y
1987-03-25,Note,4-Year,5Y
1987-05-06,Note,10-Year,10Y
1987-05-07,Bond,30-Year,30Y
1987-05-27,Note,5-Year 2-Month,5Y
1987-06-24,Note,4-Year,5Y
1987-08-12,Note,10-Year,10Y
1987-08-13,Bond,30-Year,30Y
1987-08-27,Note,5-Year 2-Month,5Y
1987-10-06,Note,4-Year,5Y
1987-11-04,Note,10-Year,10Y
1987-11-05,Bond,29-Year 9-Month,30Y
1987-11-24,Note,5-Year 2-Month,5Y
1987-12-23,Note,4-Year,5Y
1988-02-03,Note,10-Year,10Y
1988-02-04,Bond,29-Year 3-Month,30Y
1988-02-25,Note,5-Year 2-Month,5Y
1988-03-24,Note,4-Year,5Y
1988-05-11,Note,10-Year,10Y
1988-05-12,Bond,30-Year,30Y
1988-05-26,Note,5-Year 2-Month,5Y
1988-06-23,Note,4-Year,5Y
